189 12 2.31015 -0.106388
192 12 2.33273 -0.0482368
195 12 0 0
198 12 0 0
0 15 0 0
3 15 0 0
6 15 0.994987 0.00188446
9 15 0.992737 0.00424194
12 15 0.989506 0.00658798
15 15 0.985374 0.00892639
18 15 0.980328 0.0112877
21 15 0.974426 0.0136108
24 15 0.967625 0.0159416
27 15 0.959995 0.0182228
30 15 0.951557 0.020504
33 15 0.942352 0.0227051
36 15 0.932472 0.02491
39 15 0.921844 0.0269852
42 15 0.910582 0.0290241
45 15 0.898764 0.0309315
48 15 0.886366 0.032732
51 15 0.873484 0.0343876
54 15 0.860115 0.0358925
57 15 0.846411 0.0372257
60 15 0.83238 0.0383167
63 15 0.818077 0.0392113
66 15 0.803621 0.0398273
69 15 0.789055 0.0401688
72 15 0.774464 0.0402031
75 15 0.759916 0.0398769
78 15 0.745556 0.0391731
81 15 0.731411 0.0380383
84 15 0.71762 0.0364466
87 15 0.704265 0.0343218
90 15 0.691476 0.0316267
93 15 0.679339 0.0282984
96 15 0.667977 0.0242376
99 15 0.657501 0.019352
102 15 0.648065 0.0134969
105 15 0.639801 0.00651407
108 15 0.632878 -0.00182581
111 15 0.6275 -0.0117989
114 15 0.623911 -0.0237455
117 15 0.622457 -0.0380979
120 15 0.623567 -0.0553479
123 15 0.627833 -0.0760738
126 15 0.636044 -0.100886
129 15 0.649233 -0.130376
132 15 0.668718 -0.165022
135 15 0.6961 -0.205048
138 15 0.733192 -0.250271
141 15 0.781913 -0.299915
144 15 0.844026 -0.352501
147 15 0.920857 -0.405793
150 15 1.01299 -0.456879
153 15 1.11994 -0.502396
156 15 1.23996 -0.53887
159 15 1.36995 -0.563241
162 15 1.50588 -0.57334
165 15 1.64306 -0.568201
168 15 1.77691 -0.548075
171 15 1.90331 -0.514193
174 15 2.01895 -0.46851
177 15 2.12143 -0.413239
180 15 2.20911 -0.350555
183 15 2.28109 -0.282513
186 15 2.33694 -0.21088
189 15 2.37635 -0.137146
192 15 2.39913 -0.0624542
195 15 0 0
198 15 0 0
0 18 0 0
3 18 0 0
6 18 0.997681 0.00253296
9 18 0.99543 0.00556946
12 18 0.992252 0.00860977
15 18 0.988094 0.0116386
18 18 0.983032 0.0147324
21 18 0.977058 0.0177689
24 18 0.970295 0.0207558
27 18 0.962608 0.0237274
